,country,beer_percapita,spirit_percapita,wine_percapita
0,Denmark,224,81,278
1,Switzerland,185,100,280
2,Iceland,233,61,78
3,Norway,169,71,129
4,Finland,263,133,97
5,Canada,240,122,100
6,Netherlands,251,88,190
7,New Zealand,203,79,175
8,Australia,261,72,212
9,Sweden,152,60,186
10,Israel,63,69,9
11,Austria,279,75,191
12,United States,249,158,84
13,Costa Rica,149,87,11
14,Germany,346,117,175
15,Brazil,245,145,16
16,Belgium,295,84,212
17,Ireland,313,118,165
18,Luxembourg,236,133,271
19,Mexico,238,68,5
20,Singapore,60,12,11
21,United Kingdom,219,126,195
22,Chile,130,124,172
23,Panama,285,104,18
24,Argentina,193,25,221
25,Czech Republic,361,170,134
26,United Arab Emirates,16,135,5
27,Uruguay,115,35,220
28,Malta,149,100,120
29,Colombia,159,76,3
30,France,127,151,370
31,Thailand,99,258,1
32,Qatar,1,42,7
33,Spain,284,157,112
34,Guatemala,53,69,2
35,Suriname,128,178,7
36,Bahrain,42,63,7
37,Trinidad and Tobago,197,156,7
38,Venezuela,333,100,3
39,Slovakia,196,293,116
40,El Salvador,52,69,2
41,Nicaragua,78,118,1
42,Uzbekistan,25,101,8
43,Italy,85,42,237
44,Ecuador,162,74,3
45,Belize,263,114,8
46,Japan,77,202,16
47,Kazakhstan,124,246,12
48,Moldova,109,226,18
49,Russian Federation,247,326,73
50,Poland,343,215,56
51,South Korea,140,16,9
52,Bolivia,167,41,8
53,Lithuania,343,244,56
54,Belarus,142,373,42
55,Slovenia,270,51,276
56,Peru,163,160,21
57,Turkmenistan,19,71,32
58,Mauritius,98,31,18
59,Latvia,281,216,62
60,Cyprus,192,154,113
61,Paraguay,213,117,74
62,Romania,297,122,167
63,Estonia,224,194,59
64,Jamaica,82,97,9
65,Croatia,230,87,254
66,Turkey,51,22,7
67,Jordan,6,21,1
68,Azerbaijan,21,46,5
69,Philippines,71,186,1
70,China,79,192,8
71,Kyrgyzstan,31,97,6
72,Serbia,283,131,127
73,Bosnia and Herzegovina,76,173,8
74,Montenegro,31,114,128
75,Dominican Republic,193,147,9
76,Morocco,12,6,10
77,Hungary,234,215,185
78,Lebanon,20,55,31
79,Portugal,194,67,339
80,Macedonia,106,27,86
81,Vietnam,111,2,1
82,Tunisia,51,3,20
83,Greece,133,112,218
84,Mongolia,77,189,8
85,Nigeria,42,5,2
86,Honduras,69,98,2
87,Zambia,32,19,4
88,Albania,89,132,54
89,Sierra Leone,25,3,2
90,Namibia,376,3,1
91,Cameroon,147,1,4
92,South Africa,225,76,81
93,Egypt,6,4,1
94,Armenia,21,179,11
95,Kenya,58,22,2
96,Ukraine,206,237,45
97,Ghana,31,3,10
98,Dem. Rep. Congo,32,3,1
99,Georgia,52,100,149
100,Rep. Congo,76,1,9
101,Senegal,9,1,7
102,Bulgaria,231,252,94
103,Zimbabwe,64,18,4
104,Malawi,8,11,1
105,Gabon,347,98,59
106,Mali,5,1,1
107,Haiti,1,326,1
108,Botswana,173,35,35
109,Comoros,1,3,1
110,Cote d'Ivoire,37,1,7
111,Cambodia,57,65,1
112,Angola,217,57,45
113,Niger,3,2,1
114,Chad,15,1,1
115,Burkina Faso,25,7,7
116,Madagascar,26,15,4
117,Tanzania,36,6,1
118,Liberia,19,152,2
119,Benin,34,4,13
120,Togo,36,2,19
121,Syria,5,35,16
