,country,happiness_score,beer_percapita,spirit_percapita,wine_percapita
0,Switzerland,7.587000000000001,185,100,280
1,Iceland,7.561,233,61,78
2,Denmark,7.527,224,81,278
3,Norway,7.522,169,71,129
4,Canada,7.4270000000000005,240,122,100
5,Finland,7.406000000000001,263,133,97
6,Netherlands,7.377999999999999,251,88,190
7,Sweden,7.364,152,60,186
8,New Zealand,7.2860000000000005,203,79,175
9,Australia,7.284,261,72,212
10,Israel,7.278,63,69,9
11,Costa Rica,7.226,149,87,11
12,Austria,7.2,279,75,191
13,Mexico,7.187,238,68,5
14,United States,7.119,249,158,84
15,Brazil,6.983,245,145,16
16,Luxembourg,6.946000000000001,236,133,271
17,Ireland,6.94,313,118,165
18,Belgium,6.937,295,84,212
19,United Arab Emirates,6.901,16,135,5
20,United Kingdom,6.867000000000001,219,126,195
21,Venezuela,6.81,333,100,3
22,Singapore,6.797999999999999,60,12,11
23,Panama,6.7860000000000005,285,104,18
24,Germany,6.75,346,117,175
25,Chile,6.67,130,124,172
26,Qatar,6.611000000000001,1,42,7
27,France,6.575,127,151,370
28,Argentina,6.574,193,25,221
29,Czech Republic,6.505,361,170,134
30,Uruguay,6.485,115,35,220
31,Colombia,6.477,159,76,3
32,Thailand,6.455,99,258,1
33,Spain,6.329,284,157,112
34,Malta,6.3020000000000005,149,100,120
35,Suriname,6.269,128,178,7
36,Trinidad and Tobago,6.167999999999999,197,156,7
37,El Salvador,6.13,52,69,2
38,Guatemala,6.122999999999999,53,69,2
39,Uzbekistan,6.002999999999999,25,101,8
40,Slovakia,5.995,196,293,116
41,Japan,5.987,77,202,16
42,South Korea,5.984,140,16,9
43,Ecuador,5.975,162,74,3
44,Bahrain,5.96,42,63,7
45,Italy,5.9479999999999995,85,42,237
46,Bolivia,5.89,167,41,8
47,Moldova,5.888999999999999,109,226,18
48,Paraguay,5.877999999999999,213,117,74
49,Kazakhstan,5.855,124,246,12
50,Slovenia,5.848,270,51,276
51,Lithuania,5.832999999999999,343,244,56
52,Nicaragua,5.827999999999999,78,118,1
53,Peru,5.824,163,160,21
54,Belarus,5.813,142,373,42
55,Poland,5.791,343,215,56
56,Croatia,5.7589999999999995,230,87,254
57,Jamaica,5.709,82,97,9
58,Cyprus,5.689,192,154,113
59,Turkmenistan,5.547999999999999,19,71,32
60,Mauritius,5.477,98,31,18
61,Estonia,5.428999999999999,224,194,59
62,Vietnam,5.36,111,2,1
63,Turkey,5.332000000000001,51,22,7
64,Kyrgyzstan,5.2860000000000005,31,97,6
65,Nigeria,5.268,42,5,2
66,Azerbaijan,5.212000000000001,21,46,5
67,Jordan,5.192,6,21,1
68,Montenegro,5.192,31,114,128
69,China,5.14,79,192,8
70,Zambia,5.129,32,19,4
71,Romania,5.124,297,122,167
72,Serbia,5.122999999999999,283,131,127
73,Portugal,5.102,194,67,339
74,Latvia,5.098,281,216,62
75,Philippines,5.073,71,186,1
76,Morocco,5.013,12,6,10
77,Macedonia,5.007,106,27,86
78,Albania,4.959,89,132,54
79,Bosnia and Herzegovina,4.949,76,173,8
80,Dominican Republic,4.885,193,147,9
81,Mongolia,4.874,77,189,8
82,Greece,4.857,133,112,218
83,Lebanon,4.8389999999999995,20,55,31
84,Hungary,4.8,234,215,185
85,Honduras,4.788,69,98,2
86,Tunisia,4.739,51,3,20
87,Ukraine,4.681,206,237,45
88,South Africa,4.6419999999999995,225,76,81
89,Ghana,4.633,31,3,10
90,Zimbabwe,4.61,64,18,4
91,Liberia,4.571000000000001,19,152,2
92,Haiti,4.518,1,326,1
93,Sierra Leone,4.507,25,3,2
94,Kenya,4.419,58,22,2
95,Armenia,4.35,21,179,11
96,Botswana,4.332,173,35,35
97,Georgia,4.297,52,100,149
98,Malawi,4.292,8,11,1
99,Cameroon,4.252,147,1,4
100,Bulgaria,4.218,231,252,94
101,Egypt,4.194,6,4,1
102,Angola,4.033,217,57,45
103,Mali,3.995,5,1,1
104,Comoros,3.9560000000000004,1,3,1
105,Senegal,3.904,9,1,7
106,Gabon,3.8960000000000004,347,98,59
107,Niger,3.845,3,2,1
108,Cambodia,3.819,57,65,1
109,Tanzania,3.781,36,6,1
110,Madagascar,3.681,26,15,4
111,Chad,3.667,15,1,1
112,Burkina Faso,3.5869999999999997,25,7,7
113,Benin,3.34,34,4,13
114,Syria,3.0060000000000002,5,35,16
115,Togo,2.839,36,2,19
116,Denmark,7.526,224,81,278
117,Switzerland,7.5089999999999995,185,100,280
