,country,happiness_score,economy_gdp,life_expectancy,year
0,Finland,7.632000000000001,1.305,0.8740000000000001,2018
1,Norway,7.593999999999999,1.456,0.861,2018
2,Denmark,7.555,1.351,0.868,2018
3,Iceland,7.495,1.3430000000000002,0.914,2018
4,Switzerland,7.487,1.42,0.927,2018
5,Netherlands,7.441,1.361,0.878,2018
6,Canada,7.327999999999999,1.33,0.8959999999999999,2018
7,New Zealand,7.324,1.268,0.8759999999999999,2018
8,Sweden,7.314,1.355,0.9129999999999999,2018
9,Australia,7.272,1.34,0.91,2018
10,United Kingdom,7.19,1.244,0.888,2018
11,Austria,7.138999999999999,1.341,0.8909999999999999,2018
12,Costa Rica,7.072,1.01,0.8170000000000001,2018
13,Ireland,6.977,1.4480000000000002,0.8759999999999999,2018
14,Germany,6.965,1.34,0.861,2018
15,Belgium,6.9270000000000005,1.324,0.894,2018
16,Luxembourg,6.91,1.5759999999999998,0.8959999999999999,2018
17,United States,6.886,1.3980000000000001,0.8190000000000001,2018
18,Israel,6.814,1.301,0.883,2018
19,United Arab Emirates,6.774,2.096,0.67,2018
20,Czech Republic,6.711,1.2329999999999999,0.8540000000000001,2018
21,Malta,6.627000000000001,1.27,0.884,2018
22,France,6.489,1.2930000000000001,0.9079999999999999,2018
23,Mexico,6.4879999999999995,1.038,0.7609999999999999,2018
24,Chile,6.476,1.131,0.8079999999999999,2018
25,Taiwan,6.441,1.365,0.857,2018
26,Panama,6.43,1.112,0.759,2018
27,Brazil,6.419,0.986,0.675,2018
28,Argentina,6.388,1.073,0.7440000000000001,2018
29,Guatemala,6.382000000000001,0.7809999999999999,0.608,2018
30,Uruguay,6.379,1.093,0.7709999999999999,2018
31,Qatar,6.374,1.649,0.748,2018
32,Saudi Arabia,6.371,1.379,0.633,2018
33,Singapore,6.343,1.5290000000000001,1.008,2018
34,Malaysia,6.322,1.161,0.669,2018
35,Spain,6.31,1.251,0.965,2018
36,Colombia,6.26,0.96,0.635,2018
37,Trinidad & Tobago,6.192,1.2229999999999999,0.564,2018
38,Slovakia,6.172999999999999,1.21,0.7759999999999999,2018
39,El Salvador,6.167000000000001,0.8059999999999999,0.639,2018
40,Nicaragua,6.141,0.6679999999999999,0.7,2018
41,Poland,6.122999999999999,1.176,0.7809999999999999,2018
42,Bahrain,6.105,1.338,0.698,2018
43,Uzbekistan,6.096,0.7190000000000001,0.605,2018
44,Kuwait,6.082999999999999,1.474,0.675,2018
45,Thailand,6.072,1.016,0.7070000000000001,2018
46,Italy,6.0,1.264,0.946,2018
47,Ecuador,5.973,0.889,0.736,2018
48,Belize,5.956,0.807,0.474,2018
49,Lithuania,5.952000000000001,1.197,0.716,2018
50,Slovenia,5.9479999999999995,1.219,0.856,2018
51,Romania,5.945,1.1159999999999999,0.726,2018
52,Latvia,5.933,1.148,0.6709999999999999,2018
53,Japan,5.915,1.294,0.988,2018
54,Mauritius,5.891,1.09,0.684,2018
55,Jamaica,5.89,0.8190000000000001,0.693,2018
56,South Korea,5.875,1.266,0.955,2018
57,Northern Cyprus,5.835,1.229,0.909,2018
58,Russia,5.81,1.151,0.599,2018
59,Kazakhstan,5.79,1.143,0.631,2018
60,Cyprus,5.7620000000000005,1.229,0.909,2018
61,Bolivia,5.752000000000001,0.7509999999999999,0.508,2018
62,Estonia,5.739,1.2,0.737,2018
63,Paraguay,5.681,0.835,0.615,2018
64,Peru,5.662999999999999,0.934,0.674,2018
65,Kosovo,5.662000000000001,0.855,0.578,2018
66,Moldova,5.64,0.657,0.62,2018
67,Turkmenistan,5.636,1.016,0.517,2018
68,Hungary,5.62,1.171,0.732,2018
69,Libya,5.566,0.985,0.5529999999999999,2018
70,Philippines,5.524,0.775,0.513,2018
71,Honduras,5.504,0.62,0.622,2018
72,Belarus,5.483,1.0390000000000001,0.7,2018
73,Turkey,5.483,1.148,0.6859999999999999,2018
74,Pakistan,5.472,0.652,0.424,2018
75,Hong Kong,5.43,1.405,1.03,2018
76,Portugal,5.41,1.188,0.884,2018
77,Serbia,5.398,0.975,0.685,2018
78,Greece,5.358,1.1540000000000001,0.879,2018
79,Lebanon,5.358,0.965,0.785,2018
