,country,happiness_score,economy_gdp,life_expectancy,year
0,Switzerland,7.587000000000001,1.3965100000000001,0.9414299999999999,2015
1,Iceland,7.561,1.3023200000000001,0.94784,2015
2,Denmark,7.527,1.32548,0.87464,2015
3,Norway,7.522,1.459,0.88521,2015
4,Canada,7.4270000000000005,1.32629,0.9056299999999999,2015
5,Finland,7.406000000000001,1.29025,0.8891100000000001,2015
6,Netherlands,7.377999999999999,1.32944,0.89284,2015
7,Sweden,7.364,1.33171,0.9108700000000001,2015
8,New Zealand,7.2860000000000005,1.2501799999999998,0.9083700000000001,2015
9,Australia,7.284,1.33358,0.93156,2015
10,Israel,7.278,1.2285700000000002,0.9138700000000001,2015
11,Costa Rica,7.226,0.95578,0.8602700000000001,2015
12,Austria,7.2,1.33723,0.8904200000000001,2015
13,Mexico,7.187,1.02054,0.8144399999999999,2015
14,United States,7.119,1.3945100000000001,0.86179,2015
15,Brazil,6.983,0.98124,0.69702,2015
16,Luxembourg,6.946000000000001,1.5639100000000001,0.91894,2015
17,Ireland,6.94,1.33596,0.89533,2015
18,Belgium,6.937,1.30782,0.8966700000000001,2015
19,United Arab Emirates,6.901,1.42727,0.80925,2015
20,United Kingdom,6.867000000000001,1.26637,0.90943,2015
21,Oman,6.853,1.36011,0.76276,2015
22,Venezuela,6.81,1.04424,0.7205199999999999,2015
23,Singapore,6.797999999999999,1.52186,1.02525,2015
24,Panama,6.7860000000000005,1.0635299999999999,0.79661,2015
25,Germany,6.75,1.32792,0.89186,2015
26,Chile,6.67,1.10715,0.85857,2015
27,Qatar,6.611000000000001,1.69042,0.79733,2015
28,France,6.575,1.27778,0.9457899999999999,2015
29,Argentina,6.574,1.05351,0.78723,2015
30,Czech Republic,6.505,1.17898,0.84483,2015
31,Uruguay,6.485,1.06166,0.8116,2015
32,Colombia,6.477,0.91861,0.69077,2015
33,Thailand,6.455,0.9669,0.7385,2015
34,Saudi Arabia,6.4110000000000005,1.39541,0.72025,2015
35,Spain,6.329,1.23011,0.95562,2015
36,Malta,6.3020000000000005,1.2074,0.88721,2015
37,Taiwan,6.297999999999999,1.29098,0.8753,2015
38,Kuwait,6.295,1.5542200000000002,0.72492,2015
39,Suriname,6.269,0.99534,0.6082,2015
